ID,NOME_INTEGRADOR,NOME_FANTASIA,RAZAO_SOCIAL,CNPJ,TELEFONE,CIDADE,ESTADO,nome_rca
3580,JOÃO VICTOR COELHO DE SOUZA - ME João Victor Coelho de Souza,GLORIA ENGENHARIA E SERVIÇOS,JOÃO VICTOR COELHO DE SOUZA - ME,34.513.096/0001-03,(82) 99620-4715,Delmiro Gouveia,Alagoas,
3645,Fabio alves da silva Fabio alves da silva,Mais service,Fabio alves da silva,17.428.585/0001-48,(82) 99665-9595,Maceió,Alagoas,DIRCEU TAIRO
3652,New Energy Solar BR LTDA Vitor,New Energy Solar BR,New Energy Solar BR LTDA,37.846.283/0001-05,(82) 9913514451,Maceió,Alagoas,
3682,Engenharia e CONSULTORIA FLAVIA CAVALCANTE SOUTO MENEZES RODRIGUES LOPES,Rodrigues e Souto Engenharia,Engenharia e CONSULTORIA,38.088.998/0001-09,(82) 98170-2525,Maceió,Alagoas,FLÁVIA SOUTO
3702,Ronaldo afonso do nascimento filho06969446425 Ronaldo Afonso,RC3 solar,Ronaldo afonso do nascimento filho06969446425,36.960.980/0001-11,(82) 99686-2769,Rio Largo,Alagoas,BRUNO MARQUES
3740,HENRIQUE DE FAEZY,HENRIQUE LEMOS DE FAEZY,HENRIQUE,35.266.642/0001-11,(82) 99981-3598,Maceió,Alagoas,
3762,José Helenilson Ribeiro da Rocha José Helenilson ribeiro da Rocha,Segment Projetos solar,José Helenilson Ribeiro da Rocha,07.602.116/0001-40,82999220761,Igaci,Alagoas,FLÁVIA SOUTO
3835,A CRISTINA S S DOS SANTOS Eng. Elton Ferraz,SOLLAR ENGENHARIA SUSTENTÁVEL,A CRISTINA S S DOS SANTOS,36.044.922/0001-48,(82) 99303-9916,Maceió,Alagoas,FLÁVIA SOUTO
3856,AP Solar Home Ltda Rodrigo,AP Solar Home,AP Solar Home Ltda,33.202.667/0001-26,(82) 99641-0472,Arapiraca,Alagoas,FLÁVIA SOUTO
3858,DARLON CALISTO DOS SANTOS 87045443404 Flavia Souto Darlon Calisto,DC SOLAR,Darloncalistodossantos87045443404,37.645.273/0001-01,82998029901,MACEIÓ,Alagoas,FLÁVIA SOUTO
3870,G R COSTA ENGENHARIA GABRIEL RIBEIRO COSTA,AKISOLAR ENGENHARIA,G R COSTA,31.291.614/0001-01,82981142018,MACEIÓ,Alagoas,FLÁVIA SOUTO
3921,TOMAS ANTONIO DIAS SOQUE 70593339401 TOMAS ANTONIO DIAS SOQUE,SOQUE ENERGIA SOLAR,TOMAS ANTONIO DIAS SOQUE 70593339401,37.513.981/0001-80,(82) 99996-1889,Maceió,Alagoas,ADRIANA BRITO
3930,SILVA&REIS EDNALDO ROZENO,ALARMES.COM,SILVA&REIS,18.809.539/0001-51,(82) 98749-6304,Pilar,Alagoas,
4116,Conart Construções Eireli Luiz Antonio,Conart,Conart Construções Eireli,15.713.965/0001-07,(79) 99839-4734,Maceió,Alagoas,
4167,JP SOLAR INSTALACAO ELETRICA LTDA LAERCIO SOARES BARBOSA,JOTA PINTO DISTRIBUIDORA,JP SOLAR INSTALACAO ELETRICA LTDA,30.121.824/0001-80,(82) 99981-6900,Maceió,Alagoas,DAVID LINHARES
4197,Kleyton Silva kleyton,Eletroinfor,Kleyton Silva,11.976.979/0001-54,(82) 99333-0027,Arapiraca,Alagoas,
4228,VICTOR HENRIQUE FERRO SANTOS 10073423408 VICTOR HENRIQUE FERRO SANTOS,VF SOLUCOES ELETRICAS,VICTOR HENRIQUE FERRO SANTOS 10073423408,36.069.066/0001-85,82996611049,ARAPIRACA,Alagoas,FLÁVIA SOUTO
4265,LEONARDO FELIPE DE CASTRO ARAUJO Leonardo Felipe,NOVA EFICIENCIA ENGENHARIA ELETRICA,LEONARDO FELIPE DE CASTRO ARAUJO,39.383.524/0001-44,(82) 99444-7560,Maceió,Alagoas,FLÁVIA SOUTO
4290,Sirinel dos Santos Mariano Sirinel dos Santos Mariano,Sirinel dos Santos Mariano,Sirinel dos Santos Mariano,28.404.852/0001-63,(82) 98225-1076,Mata Grande,Alagoas,
4293,FALCÃO SOLAR EIRELI ALTAIR LINS,FALCÃO SOLAR,FALCÃO SOLAR EIRELI,33.236.759/0001-27,(82) 99993-3118,Maceió,Alagoas,Z PARA - TESTE
4391,CHP SOLUÇÕES EM ENERGIA ELÉTRICA E SOLAR LTDA CARLOS HENRIQUE ANTUNES DA CUNHA PINHEIRO,CHP ENGENHARIA ELETRICA,CHP SOLUÇÕES EM ENERGIA ELÉTRICA E SOLAR LTDA,38.904.345/0001-42,(82) 99651-5066,Maceió,Alagoas,
4443,NEW SOLAR SOLUÇÕES ENERGÉTICAS LTDA THOMAZ RIBEIRO,NEW SOLAR,NEW SOLAR SOLUÇÕES ENERGÉTICAS LTDA,32.989.134/0001-73,(82) 98218-2810,Maceió,Alagoas,
4463,consolar energia fotovoltaica ltda Giorgio Nogueira,consolar,consolar energia fotovoltaica ltda,38.150.236/0001-87,(82) 34327-267,Maceió,Alagoas,FLÁVIA SOUTO
4471,Alba Teles de Arruda Costa Ewerton Correia de Lira Queiroz,Levisol Energia Solar,Alba Teles de Arruda Costa,21.630.175/0001-52,(82) 99977-3205,Maceió,Alagoas,
4488,I9 Consultoria Ambiental e Segurança do Trabalho Ltda Sidnei Costa de Vasconcelos,i9 Ambiental,I9 Consultoria Ambiental e Segurança do Trabalho Ltda,23.531.867/0001-79,(82) 99176-6161,Maceió,Alagoas,FLÁVIA SOUTO
4492,ULYSSES GABRIEL PEREIRA BOMFIM DA SILVA 06727710473 ULYSSES GABRIEL PEREIRA BOMFIM DA SILVA,SOLAREE,ULYSSES GABRIEL PEREIRA BOMFIM DA SILVA 06727710473,38.543.282/0001-46,(83) 99924-0734,Viçosa,Alagoas,FLÁVIA SOUTO
4502,Ecosol energia sustentável ltda João Victor Leão,Ecosol,Ecosol energia sustentável ltda,31.960.676/0001-50,(82) 99936-0086,Arapiraca,Alagoas,FLÁVIA SOUTO
4504,Fort3 Solar LTDA Eliana Rêgo Cavalcanti,Fort3 Solar,Fort3 Solar LTDA,18.066.972/0001-44,(82) 98150-5057,Penedo,Alagoas,
4565,João Filipe Pereira de Melo João Filipe Pereira de Melo,Jf revenda,João Filipe Pereira de Melo,34.649.443/0001-20,(82) 98875-0909,Maceió,Alagoas,KARLANY OLIVEIRA
4617,DANIEL LUCAS HENRIQUE DE MACEDO 11136756400 DANIEL LUCAS HENRIQUE DE MACEDO,INSIGNE ENERGIA,DANIEL LUCAS HENRIQUE DE MACEDO 11136756400,39.553.261/0001-74,(82) 99182-8305,Maceió,Alagoas,
4738,Hytalo Ross Domingos de Lima Hytalo Ross Domingos de Lim,prevenergy,Hytalo Ross Domingos de Lima,30.403.848/0001-22,(82) 99612-8681,Maceió,Alagoas,FLÁVIA SOUTO
4750,Meu Ambiente Engenharia e Consultoria LTDA Rodrigo Sibaldo RIbeiro de Albuquerque,Meu Ambiente,Meu Ambiente Engenharia e Consultoria LTDA,34.087.504/0001-02,(82) 98111-6568,Maceió,Alagoas,FLÁVIA SOUTO
4769,LEANDRO NUNES DE MAMA 01008558141 LEANDRO NUNES DE MAMA,L&S ENERGIA SOLAR,LEANDRO NUNES DE MAMA 01008558141,37.615.344/0001-15,(82) 99966-1496,Arapiraca,Alagoas,ELANNE CAVALCANTE
4785,Trade Brasil eireli Yves murta Mota maciel,Trade brasil,Trade Brasil eireli,32.917.402/0001-41,(82) 99108-9022,Maceió,Alagoas,FLÁVIA SOUTO
4909,IANI VANESSA ORICO ALVES DA SILVA CARLOS ALBERTO DA SILVA,SANLLARE ENGENHARIA,IANI VANESSA ORICO ALVES DA SILVA,36.985.548/0001-85,(82) 99638-1348,Maceió,Alagoas,FLÁVIA SOUTO
4971,genilson ferreira da costa 12042185442 genilson ferreira da costa,eletro g,genilson ferreira da costa 12042185442,22.085.398/0001-49,(82) 99189-2039,Junqueiro,Alagoas,
4991,Manoel Caetano dos Santos Filho Manoel Caetano dos Santos Filho,Raio Solar Energy,Manoel Caetano dos Santos Filho,32.062.866/0001-13,(82) 99992-4778,Maceió,Alagoas,FLÁVIA SOUTO
5107,e r da costa ELIANE RAIMUNDO CORREIA,LIGHT ENGENHARIA,e r da costa,19.316.610/0001-27,87991116910,Maceió,Alagoas,FLÁVIA SOUTO
5134,CARLOS HENRIQUE CHASTINET ARAGÃO 00795456450 CARLOS HENRIQUE CHASTINET ARAGÃO,Electricarl,CARLOS HENRIQUE CHASTINET ARAGÃO 00795456450,39.695.387/0001-83,(82) 99964-0246,Barra de São Miguel,Alagoas,FLÁVIA SOUTO
5136,ELTON FERRAZ CABRAL ELTON FERRAZ CABRAL,Energy Maceió,ELTON FERRAZ CABRAL,34.793.882/0001-01,(82) 32315-650,MACEIÓ,Alagoas,FLÁVIA SOUTO
5170,aldemar paulino da silva sobrinho01001464494 aldemar paulino da silva sobrinho,PRIME TECNOLOGIA,aldemar paulino da silva sobrinho01001464494,29.681.955/0001-33,(82) 98228-4704,Maceió,Alagoas,FLÁVIA SOUTO
5220,Adonai Lima de Almeida Adonai Lima de Almeida,SOMAR Solar Comercio e Serviços LTDA,Adonai Lima de Almeida,36.762.745/0001-35,(82) 99957-3080,Arapiraca,Alagoas,FLÁVIA SOUTO
5242,japasollar jose cloves pereira freire,japasollar,japasollar,39.747.040/0001-37,(82) 98879-1604,Japaratinga,Alagoas,FLÁVIA SOUTO
5248,AG4 Engenharia LTDA Glênio Costa do Amaral,AG4 Engenharia,AG4 Engenharia LTDA,21.641.732/0001-30,(82) 99117-1733,Maceió,Alagoas,LUCAS MAIA R
5312,THAMIRES LEMOS,INOV TECH ENERGIA SOLAR,THAMIRES,39.963.364/0001-02,(82) 99121-7870,Maceió,Alagoas,FLÁVIA SOUTO
5313,CONNECT PROJETOS E INSTALACOES ELETRICAS EIRELI Jozildo Tavares dos Santos,Conecta,CONNECT PROJETOS E INSTALACOES ELETRICAS EIRELI,30.849.646/0001-09,(82) 98871-8704,Maceió,Alagoas,FLÁVIA SOUTO
5321,MARIA CRISTINA FERREIRA DA SILVA 03166169407 MARIA CRISTINA FERREIRA DA SILVA,DÍNAMO ENERGY SOLAR,MARIA CRISTINA FERREIRA DA SILVA 03166169407,22.994.337/0001-02,(82) 98125-1870,Maceió,Alagoas,
5364,SOLUTION ENERGIA SOLAR EIRELI SERGIO TEODORO MEDEIROS,SOLLUTION ENERGIA SOLAR,SOLUTION ENERGIA SOLAR EIRELI,30.037.211/0001-60,(82) 99631-3773,Arapiraca,Alagoas,
5376,JC DO NASCIMENTO ENGENHARIA FÁBIO DE ARAÚJO,JF ENGENHARIA SOLUÇÕES E PROJETOS,JC DO NASCIMENTO ENGENHARIA,32.811.953/0001-26,(82) 99926-9366,Arapiraca,Alagoas,FLÁVIA SOUTO
5380,Conecta Solar ltda Alexsandro,Conecta Solar,Conecta Solar ltda,40.000.998/0001-49,(75) 99150-6021,Delmiro Gouveia,Alagoas,Sylvio Prado
5423,diogo hilario da silva diogo hilario da silva,MERCEARIA SANTO ANTONIO - FILIAL SAO CAETANO,diogo hilario da silva,31.990.111/0001-16,(82) 99809-3078,Maceió,Alagoas,
5556,L.A.B.B. DE ARAUJO SEGURANCA Luiz alberto barreiros,L A SECURITY EQUIPAMENTOS DE SEGURANCA E ENERGIA SOLAR,L.A.B.B. DE ARAUJO SEGURANCA,13.975.061/0001-16,(82) 98152-8319,Maceió,Alagoas,FLÁVIA SOUTO
5758,REGIS ANDRE MULLER 04132498409 Regis Andre Muller,BR360,REGIS ANDRE MULLER 04132498409,28.687.022/0001-90,(82) 99982-0374,Maceió,Alagoas,FLÁVIA SOUTO
5782,OSCAR ORSOLETE COGO 08921197486 OSCAR ORSOLETE COGO,ORSOLIGHT,OSCAR ORSOLETE COGO 08921197486,40.411.089/0001-01,(82) 99952-2222,Maceió,Alagoas,FLÁVIA SOUTO
5799,Vieira e Silva Engenharia LTDA Thiago Marques,Leite Engenharia,Vieira e Silva Engenharia LTDA,40.416.792/0001-02,(82) 98205-3738,Limoeiro de Anadia,Alagoas,FLÁVIA SOUTO
5822,jadson bezerra de lira jadson lira,softloja,jadson bezerra de lira,40.925.257/0001-79,(82) 99931-3008,Maceió,Alagoas,
5895,SOLARTECHNIK SOLUCOES EM ENGENHARIA LTDA WAGNER DOS SANTOS LIMA,SOLARTECHNIK SOLUCOES EM ENGENHARIA,SOLARTECHNIK SOLUCOES EM ENGENHARIA LTDA,39.830.784/0001-10,(82) 99600-5388,Maceió,Alagoas,FLÁVIA SOUTO
5924,A.F.B SOLUÇÕES ENERGÉTICAS ARTHUR FERREIRA BRANDÃO,SUNEASY INTELIGÊNCIA SOLAR,A.F.B SOLUÇÕES ENERGÉTICAS,34.071.450/0001-97,(82) 33171-603,Maceió,Alagoas,DANILO DIAS
5941,JOSE ANDRE DE ARAUJO SILVA JOSE ANDRE DE ARAUJO SILVA,VIRTUAL TECNOLOGIA,JOSE ANDRE DE ARAUJO SILVA,35.182.049/0001-97,(82) 99654-2237,Coruripe,Alagoas,
5987,TRADE BRASIL EDILSON CONDRI,TRADE BRASIL,TRADE BRASIL,12.839.804/0001-68,(82) 98161-8956,Maceió,Alagoas,FLÁVIA SOUTO
5992,Tecmar Engenharia Josimar,Tecmar Engenharia e Construçoes,Tecmar Engenharia,07.085.531/0001-73,(82) 99921-8122,Maceio,Alagoas,EXPURGO NAO UTILIZADO
6103,andre richared becker filho 09747865432 Andre,pixsolar,andre richared becker filho 09747865432,40.723.506/0001-43,(82) 98109-3880,Maceió,Alagoas,
6154,UNIDOS ENERGIA SUSTENTÁVEL EIRELI JAILTON DE ARAUJO,UNIDOS ENERGIA SUSTENTÁVEL,UNIDOS ENERGIA SUSTENTÁVEL EIRELI,40.648.935/0001-01,(82) 99332-5958,ARAPIRACA,Alagoas,LÍDIA LIMA
6161,ANJOS & LIMA LTDA Emanuelle,XMR NEGOCIOS IMOBILIARIOS,ANJOS & LIMA LTDA,38.429.546/0001-35,(82) 99666-1232,Maceió,Alagoas,DIEGO COLARES
6194,Ricardo Perel Simoes Reys 04159097405 HYP SOLAR,RP SOLAR,Ricardo Perel Simoes Reys 04159097405,26.642.840/0001-41,(82) 993084632,Maceió,Alagoas,DAVID LINHARES
6417,SOLSTECH LUCAS DA SILVA RIBEIRO,SOLSTECH ENGENHARIA,SOLSTECH,30.739.139/0001-12,(82) 98808-9265,Maceió,Alagoas,
6539,KELY CRISTINA ALVES DA PAZ ESDRAS DE OLIVEIRA PEREIRA,SOLAIRE ENERGIA SOLAR,KELY CRISTINA ALVES DA PAZ,31.016.743/0001-83,(79) 99962-8677,Penedo,Alagoas,FLÁVIA SOUTO
6563,MARIA SONIA FERREIRA DOS SANTOS 11069691461 Maria Sonia Ferreira dos Santos,Meu Lar Solar,MARIA SONIA FERREIRA DOS SANTOS 11069691461,41.090.314/0001-00,(82) 99621-4779,Arapiraca,Alagoas,
6648,Construtora Vertical ltda epp Araln Souza Coutinho,Construtora Vertical,Construtora Vertical ltda epp,15.537.492/0001-26,(82) 98173-2212,Santana do Ipanema,Alagoas,
6674,RODRIGO MARINHO GUSMAO 07080249473 RODRIGO MARINHO GUSMAO,GUSMAO ELETRICIDADE,RODRIGO MARINHO GUSMAO 07080249473,34.213.871/0001-05,(82) 98887-2856,Maceió,Alagoas,
6675,ELIENE MARIA DA SILVA Evaldo Soares da Silva,IDEALIZE ENERGIA SOLAR,ELIENE MARIA DA SILVA,38.236.177/0001-64,(82) 98121-5858,Arapiraca,Alagoas,
6723,Shirlayne Kathiuce Oliveira Moura Nobre Christiano Alves Nobre,Cygsolar,Shirlayne Kathiuce Oliveira Moura Nobre,37.553.763/0001-70,(82) 98742-5586,Maceió,Alagoas,
6772,Projete engenharia e servico eduardo Albuquerque,RISEN,Projete engenharia e servico,22.311.892/0001-84,(82) 98202-0002,Marechal Deodoro,Alagoas,
6776,FERNANDO JUVENAL SILVA VASCONCELOS FJ ENGENHARIA ELÉTRICA,FJ ENGENHARIA ELETRICA,FERNANDO JUVENAL SILVA VASCONCELOS,23.708.972/0001-30,(82) 32961-488,Maragogi,Alagoas,FLÁVIA SOUTO
6880,A.B ALVES DA SILVA LENIVALDO,ARCO ENGENHARIA,A.B ALVES DA SILVA,33.369.637/0001-09,(82) 99654-1300,Maceió,Alagoas,
6887,IVANALDO DA SILVA 00852054432 IVANALDO DA SILVA,ELETRIC SOLAR,IVANALDO DA SILVA 00852054432,39.547.001/0001-96,(82) 99667-1415,Maceió,Alagoas,BRUNO MARQUES
6921,Bruna Torres Soares Eireli Emiliano Farias,Telecom e Serviços,Bruna Torres Soares Eireli,23.183.747/0001-28,(82) 98800-2026,Marechal Deodoro,Alagoas,
